C00668,RP01197,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP04656,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP01154,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00208,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP01197,C00103,RP00208,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00306,C00498,RP13449,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00208,C00103,RP00196,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00208,C00031,RP04656,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00146,C00092,RP10946,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00153,C04164,RP06919,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00153,C04164,RP06919,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP01197,C00103,RP00313,C00394,RP05045,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00146,C00092,RP00060,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP02307,C00844,RP16747,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00208,C00103,RP00196,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP00060,C00092,RP10946,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP13843,C17759,RP13847,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP15225,C15970,RP10792,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP01134,C00689,RP05915,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP01590,C00208,RP10323,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP13843,C17759,RP13847,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP15225,C15970,RP10792,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP01134,C00689,RP05915,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP01197,C00103,RP10946,C00092,RP00060,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP10948,C01083,RP00453,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00208,C00103,RP00306,C00498,RP13449,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP04550,C00052,RP06478,C01235,RP07004,C00492,RP00676,C01613
C00668,RP01197,C00103,RP03814,C04645,RP07957,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP03814,C04645,RP07957,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP00216,C00267,RP01154,C00095,RP04656,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP06302,C02591,RP00509,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP11051,C01083,RP14105,C00498,RP13449,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP11051,C01083,RP16548,C15541,RP10923,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP01758,C00794,RP00692,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP10323,C00208,RP01590,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP01190,C00185,RP13490,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00303,C00267,RP01154,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00343,C01083,RP14105,C00498,RP13449,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00343,C01083,RP16548,C15541,RP10923,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP05045,C00394,RP00313,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00512,C01158,RP07452,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00512,C01158,RP07452,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP02660,C08325,RP16748,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP02307,C00844,RP16747,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP02660,C08325,RP16748,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP00453,C01083,RP10948,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP04558,C05713,RP08373,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP04558,C05713,RP08373,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP00216,C00267,RP01154,C00095,RP01151,C00273,RP01149,C10906,RP10922,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00208,C00031,RP02307,C00844,RP16747,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00208,C00103,RP00196,C00029,RP06302,C02591,RP00509,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP07094,C00761,RP02334,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP08903,C02074,RP03331,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP10775,C01175,RP00527,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP06405,C01246,RP01232,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP11051,C01083,RP11015,C00208,RP10323,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP11051,C01083,RP14105,C00498,RP00306,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP01629,C00221,RP15817,C05143,RP07151,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP01629,C00221,RP15817,C05143,RP07151,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP00060,C00092,RP01093,C00085,RP01092,C02591,RP00509,C00089,RP00235,C00492,RP00676,C01613
C00668,RP00216,C00267,RP01758,C00794,RP00692,C00095,RP04656,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP10323,C00208,RP01590,C00031,RP04656,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP10323,C00208,RP02961,C00267,RP01154,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00060,C00092,RP10946,C00103,RP00196,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP01190,C00185,RP13490,C00031,RP04656,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP13843,C17759,RP13847,C00029,RP04550,C00052,RP06478,C01235,RP07004,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00146,C00092,RP10946,C00103,RP00196,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00146,C00092,RP10946,C00103,RP00208,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP02126,C00842,RP02659,C02097,RP02128,C00446,RP01302,C00124,RP01357,C01235,RP07509,C01613
C00668,RP02452,C00031,RP13843,C17759,RP13847,C00029,RP06302,C02591,RP00509,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP02126,C00842,RP02659,C02097,RP02128,C00446,RP00438,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02452,C00031,RP00208,C00103,RP00196,C00029,RP04550,C00052,RP06478,C01235,RP07004,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00343,C01083,RP11015,C00208,RP10323,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00343,C01083,RP14105,C00498,RP00306,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP01197,C00103,RP00196,C00029,RP13847,C17759,RP13843,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP15225,C15970,RP10792,C00029,RP04550,C00052,RP06478,C01235,RP07004,C00492,RP00676,C01613
C00668,RP02453,C01172,RP01627,C00221,RP15817,C05143,RP07151,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00146,C00092,RP01093,C00085,RP01092,C02591,RP00509,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP01627,C00221,RP15817,C05143,RP07151,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02453,C01172,RP02442,C00663,RP08840,C00689,RP05915,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02451,C00689,RP00146,C00092,RP01093,C00085,RP00242,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP01627,C00221,RP01629,C00267,RP01154,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP02442,C00663,RP08840,C00689,RP05915,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02453,C01172,RP02450,C01236,RP01133,C00092,RP10946,C00103,RP01111,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP01627,C00221,RP15828,C01594,RP07646,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP02442,C00663,RP08840,C00689,RP01134,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP02450,C01236,RP01133,C00092,RP00060,C00031,RP00205,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP01627,C00221,RP15828,C01594,RP07646,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02453,C01172,RP01627,C00221,RP16096,C16827,RP12759,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02452,C00031,RP00205,C00089,RP01109,C00267,RP01154,C00095,RP00075,C00089,RP00235,C00492,RP00676,C01613
C00668,RP02453,C01172,RP01627,C00221,RP16096,C16827,RP12759,C00029,RP04550,C00052,RP06478,C01235,RP07509,C01613
C00668,RP02453,C01172,RP01627,C00221,RP15827,C08334,RP15822,C00029,RP06317,C00089,RP00235,C00492,RP00676,C01613
